States,ID,totalrate,metro,non-metro,usa,global,male,female,18to44,45to64,over65,lowerhighschool,highschool,somecollege,college,advanced,less100,100to199,200to399,400to599,above600,insured,uninsured,married,divorced,widowed,single,veteran,non-veteran
US,us,6.7,6.5,7.3,7.2,3.6,5.1,8.1,8,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,7.4,8.4,4.5,10.1,5.9,9.1,5,6.8
Alabama,Ala.,7,6.2,7.3,7.3,3.6,5.1,8.4,9,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,5.7,6.2,4.5,10.1,5.9,9.1,5,7.7
Alaska,Alaska,7.1,7.9,8,7.7,4,6,9.1,8.5,7.1,2.6,6.1,5.5,5.7,6.7,6,8.9,7.9,6.2,6,4.7,6.7,7.7,5.6,10.1,5.9,6.9,5,7.6
Arizona,Ariz.,7.6,7.5,7.6,8,4,7,10.2,9,7.1,2.6,6.1,5.5,9,6.7,6,8.9,9.9,6.2,6,4.7,6.4,8.2,5.6,10.1,5.9,8.2,5,8
Arkansas,Ark.,8.3,8,8.7,8.8,3.6,6.3,10.1,8.5,11.7,2.6,6.1,5.5,7.4,6.7,6,8.9,10.3,6.2,6,4.7,9.4,11.2,6.4,10.1,5.9,8.5,5,8.6
California,Calif.,6.2,6.2,7.3,7.3,4,5,7.3,7.6,6.1,2.6,6.1,4.7,7.1,6.8,5,6.7,7.4,6,5.6,4.7,7,7.2,4.1,9.4,5.9,9.1,5,6.2
Colorado,Colo.,5.8,6.1,7.3,6.5,3.6,5.1,7.7,7.2,6.2,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,7.9,6,4.7,7.6,8.4,4.3,10.1,5.9,9.2,5,7.1
Connecticut,Conn.,5.9,5.7,7.9,6.3,3.6,5.1,7.2,7.2,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6.6,4.7,6.7,8.4,4.5,10.1,5.9,8.5,5,5.8
Delaware,Del.,6.9,7.3,5.6,7.1,3.6,5.5,8.2,8.4,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,8.3,8.4,4.5,10.1,5.9,11.3,5,7
Florida,Fla.,5.8,5.8,7.3,6.7,2.8,4.1,7.3,7.1,6.5,2.6,5.2,5.3,6.4,5.7,6,9.5,6.7,4.6,4.3,4.7,6.9,6.8,4.5,8.5,5.9,7.2,5,5.8
Georgia,Ga.,7.2,7.2,7.3,7.9,3.6,5.1,9.2,8.1,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,7.6,8.4,5.4,10.1,5.9,10.1,5,7.6
Hawaii,Hawaii,6.8,6.1,8.5,8.1,3.6,6.8,6.9,8.4,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,8.2,8.4,4.5,10.1,5.9,9.7,5,6.9
Idaho,Idaho,8.4,7.9,9.2,8.7,3.6,5.1,10.2,10.3,7.1,2.6,6.1,5.5,7.4,6.7,6,12.5,9.9,6.2,6,4.7,8.3,13.8,4.5,19.1,5.9,10.8,5,8.3
Illinois,III.,5.6,5.4,7.2,6.2,3.6,3.8,7.3,7.5,5.1,2.6,5.1,4.7,6.3,5,4.6,8.7,7.3,5.1,4.2,4.7,6.3,7.5,3.6,6.4,5.9,9.1,5,5.8
Indiana,Ind.,7.8,8,7.1,8,3.6,6,9.5,10,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,8.4,8.4,5.9,10.1,5.9,11.8,5,8.1
Iowa,Kan.,7.8,9.3,5.6,7.8,3.6,5.1,9,8.8,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,8.3,8.4,7.2,10.1,5.9,10,5,7.8
Kansas,Ky.,6.5,6.9,7.3,6.9,3.6,4.8,8.1,8,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,4.4,6,4.7,8,8.4,4.5,10.1,5.9,8.5,5,6.8
Kentucky,La.,7.6,9.1,5.5,7.7,3.6,5.1,10.4,8,7.1,2.6,6.1,5.5,7.4,6.7,6,11.1,7.9,6.2,6,4.7,8.5,8.4,4.5,10.1,5.9,9.1,5,7.9
Louisiana,lowa,5.9,5.7,7.3,6,3.6,5.1,7.2,6.3,7.1,2.6,6.1,5.5,7.4,6.7,6,9.8,7.9,6.2,6,4.7,6.1,8.4,4.5,10.1,5.9,7.4,5,6.1
Maine,Maino,7.7,7.6,7.3,7.4,3.6,6.2,9.1,10.1,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,5.4,6,4.7,9.4,8.4,5.9,10.1,5.9,9.4,5,8
Maryland,Mass.,6.1,6.4,7.3,6.4,3.6,5.1,6.7,8.1,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,8.8,6,4.7,6.9,8.4,4.5,10.1,5.9,8.7,5,6.4
Massachusetts,Md.,6.7,6.7,7.3,6.4,3.6,5.1,9.6,8.7,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6.5,4.7,7.8,8.4,4.5,10.1,5.9,11,5,7
Michigan,Mich.,7.1,7.1,7.3,7.4,3.6,5.2,8.9,8.6,7.4,2.6,7.2,5.9,8.1,6.7,5.8,11.4,8.9,5.9,5.3,4.7,7.7,9.4,4.5,11.6,5.9,9.9,5,7.3
Minnesota,Minn.,5.6,5.6,7.3,5.6,3.6,5.1,7.7,7.9,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,6.1,8.4,3.9,10.1,5.9,7.9,5,6
Mississippi,Miss.,8,7,8.8,8.2,3.6,5.1,11,7.7,7.1,2.6,6.1,5.5,7.4,6.7,6,11.3,7.9,6.2,6,4.7,9.4,8.4,4.5,10.1,5.9,6.2,5,8.3
Missouri,Mo.,7.5,7.2,7.3,7.7,3.6,5.1,9.8,8.7,7.1,2.6,6.1,5.5,7.4,6.7,6,15,7.9,6.7,6,4.7,8.9,8.4,4.5,10.1,5.9,9,5,8
Montana,Mont.,7,7.9,6.4,7.1,3.6,5.2,8.8,9.8,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.5,6,4.7,7.7,10.8,3.8,10.1,5.9,11.4,5,7.2
Nebraska,N.C.,6.7,6.7,7.3,6.9,3.6,5.1,8.1,7.5,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,7.7,6,4.7,8.2,6.9,4.5,10.1,5.9,7.8,5,6.6
Nevada,N.D.,5.9,5.8,7.3,6.8,3.6,3.9,7.9,6.8,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,6.4,8.4,4.5,10.1,5.9,9.2,5,6.4
New Hampshire,N.H.,6.9,6.6,7.4,6.9,3.6,5.4,8.3,8.6,7.1,2.6,6.1,5.5,7.4,6.7,6,21.2,7.9,6.2,6,4.7,7.4,8.4,5.6,10.1,5.9,9.8,5,6.9
New Jersey,N.J.,5,5,7.3,6.3,3.6,5.1,5.4,5.9,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,5.1,8.4,4.5,10.1,5.9,7.2,5,4.6
New Mexico,N.M.,7.4,8.7,7.3,7.9,3.6,5.1,8.9,6.8,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,7.4,8.4,4.5,10.1,5.9,7.8,5,7.7
New York,N.Y.,6.5,6.6,6.4,7.6,3.7,5.1,7.9,7.4,7.2,2.6,7.4,5.5,6.7,5.9,6.5,9.1,6.9,6.4,6.1,4.9,7.4,6.6,4.6,9,5.9,8.7,5,6.8
North Carolina,Neb.,6.7,6.8,7.3,6.9,3.6,6.3,7.1,5.7,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,7.7,8.4,4.5,10.1,5.9,6.4,5,6.8
North Dakota,Nev.,4.8,4.5,5,4.8,3.6,5.1,6.5,7,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,5.1,6,4.7,4.9,8.4,3.2,10.1,5.9,7.8,5,5.1
Ohio,Ohio,8,8.1,7.7,8.2,3.6,6.1,9.8,9.6,8.6,2.6,8.3,7.2,9.3,6.8,6.9,14.5,10.3,6.7,5.5,4.7,8.5,12.4,5.7,12.6,5.9,10.4,5,8.1
Oklahoma,Okla.,8.4,8.3,7.3,8.5,3.6,5.5,11,9.4,7.1,2.6,6.1,5.5,7.4,6.7,6,11.2,7.9,6.2,6,4.7,8.9,8.4,6.5,10.1,5.9,9.1,5,8.8
Oregon,Ore.,8.5,8.1,7.3,9,3.6,5.6,11.3,9.7,8.2,2.6,6.1,5.5,7.4,6.7,6,8.9,9.6,7.6,6,4.7,8.7,10.4,7.3,10.1,5.9,10.7,5,8.9
Pennsylvania,Pa.,6.8,6.9,6.2,7.9,9,5.2,8.2,8.3,7.7,2.6,5.9,5.2,8.6,6.3,6.1,12.8,8,5.9,6.5,4.7,7.9,9,4.6,10.3,5.9,10,5,7.2
Rhode Island,R.I.,8.3,8.3,7.3,8.5,3.6,5,11.3,8.3,9.7,2.6,6.1,5.5,7.4,6.7,6,14.2,7.9,6.2,6,4.7,8.9,8.4,4.5,13.1,5.9,9.6,5,8.6
South Carolina,S.C.,7.2,7.5,7.3,7.2,3.6,4.9,9.2,6.3,11.1,2.6,6.1,7.5,7.4,6.7,6,12.2,7.9,6.2,6,4.7,8.3,8.4,5.6,10.1,5.9,8.6,5,7.7
South Dakota,S.D.,4.3,6.5,3.6,4.3,3.6,5.1,5.6,5.5,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,4,8.4,4.5,10.1,5.9,,5,4.5
Tennessee,Tenn.,7.1,7.3,7.3,7.2,3.6,6.1,8,7.4,8.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,6.2,6,4.7,7.4,8.4,5.7,10.1,5.9,8,5,6.8
Texas,Texas,6.4,6.3,7.4,7.1,3.5,4.8,7.9,7.1,6.8,2.6,5.8,5.1,7.5,6.5,6,8.7,5.8,6.8,5.5,4.7,7,6.8,5.3,9.5,5.9,7.2,5,6.5
Utah,Utah,10.1,9.8,7.3,10.8,3.6,7.4,12.8,11.6,11,2.6,6.1,9.4,7.4,6.7,6,8.9,13.4,8.7,6,4.7,11.2,12.2,7.1,20.3,5.9,14.8,5,10.6
Vermont,Va.,8.1,6.2,9.2,8.5,3.6,5.1,11.2,9.4,9.2,2.6,6.1,5.5,7.4,6.7,6,15.7,12.1,6.5,6,4.7,9.8,8.4,6.5,10.1,5.9,8.9,5,8.1
Virginia[,Vt.,7.1,6.9,7.3,7.5,3.6,5.1,9.2,8.4,7.1,2.6,6.1,5.5,7.4,6.7,6,8.9,7.9,8.9,6,4.7,7.4,8.4,4.5,10.1,5.9,8.5,5,7.9
Washington,Wash.,8.8,8.3,7.3,9.5,3.6,7,10.5,10.3,8.6,2.6,6.1,5.5,12.6,6.7,6,8.9,7.9,12.3,6,4.7,9.2,8.4,4.5,10.1,5.9,12.9,5,9.2
West Virginia,W.va.,8.5,9.5,7,8.6,3.6,6.6,10.3,9.8,9.4,2.6,6.1,8,7.4,6.7,6,10.9,7.9,9.2,6,4.7,9.5,10,7.7,11.8,5.9,9,5,8.9
Wisconsin,Wis.,6.2,6.3,7.3,6.2,3.6,5.1,8.1,7.5,6.6,2.6,6.1,5.5,7.4,6.7,6,8.9,8.2,6.2,6,4.7,6.5,8.4,5.2,10.1,5.9,,5,6.5
Wyoming,Wyo.,7.3,6.5,6.8,7.5,3.6,5.1,10.4,8,7.1,2.6,6.1,5.5,8.3,6.7,6,8.9,7.9,8.1,6,4.7,8.5,8.8,4.5,10.1,5.9,9.3,5,7.8
D.C,D.C.,7.3,7.3,7.3,7.1,3.6,5.1,7.9,8.6,7.1,2.6,6.1,5.5,7.4,6.7,6.5,8.9,7.9,6.2,6,4.7,7.5,8.4,4.5,10.1,5.9,9,5,7.5